State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.53,Q. 2 /0.53,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /0.53,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /0.53,Q. 10 /0.53,Q. 11 /0.53,Q. 12 /0.53,Q. 13 /0.53,Q. 14 /0.53,Q. 15 /0.53,Q. 16 /0.53,Q. 17 /0.53,Q. 18 /0.53,Q. 19 /0.53
Finished,9/10/2025 15:31,9/10/2025 16:02,31 mins 2 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,9/10/2025 16:05,9/10/2025 16:22,17 mins 13 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,9/10/2025 16:09,9/10/2025 16:29,19 mins 56 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,9/10/2025 17:49,9/10/2025 17:59,10 mins 5 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,9/10/2025 18:50,10/10/2025 0:44,5 hours 54 mins,7.89,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0,0,0.53,0.53,0,0.53,0.53
Finished,9/10/2025 19:28,11/10/2025 13:35,1 day 18 hours,8.95,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,9/10/2025 19:48,9/10/2025 19:58,10 mins 52 secs,8.16,0.26,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,9/10/2025 20:29,9/10/2025 20:48,18 mins 36 secs,7.37,0.53,0.53,0.53,0.53,0,0.53,0,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0,0.53
Finished,9/10/2025 20:51,9/10/2025 21:07,16 mins 15 secs,7.63,0.53,0.53,0,0.53,0,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0,0,0.53,0.53,0.53,0.53,0.53
In progress,9/10/2025 22:41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,9/10/2025 23:03,9/10/2025 23:36,32 mins 49 secs,9.47,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,9/10/2025 23:18,9/10/2025 23:29,10 mins 59 secs,8.29,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0
Finished,10/10/2025 0:01,10/10/2025 0:28,26 mins 10 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,10/10/2025 0:06,10/10/2025 0:26,20 mins 7 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,10/10/2025 5:51,10/10/2025 6:09,17 mins 30 secs,9.61,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,10/10/2025 13:44,10/10/2025 13:59,14 mins 49 secs,8.95,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.26,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53
Finished,10/10/2025 14:32,10/10/2025 14:55,23 mins 19 secs,7.37,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0,0.53,0
Finished,10/10/2025 14:58,10/10/2025 22:01,7 hours 2 mins,6.97,0.53,0.53,0,0.53,0,0.53,0.53,0.26,0.53,0.39,0.53,0.53,0.53,0.53,0,0.53,0.53,0,0
Finished,10/10/2025 15:01,10/10/2025 15:40,38 mins 23 secs,6.58,0.26,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0,0,0
Finished,10/10/2025 16:24,10/10/2025 16:40,16 mins 9 secs,8.42,0.53,0.53,0.53,0.53,0.53,0,0.53,0.26,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53
Finished,10/10/2025 19:39,10/10/2025 19:55,16 mins 13 secs,3.95,0.53,0.53,0,0.53,0,0,0.53,0.26,0.26,0.26,0.53,0,0,0,0,0.53,0,0,0
Finished,10/10/2025 20:22,10/10/2025 20:35,13 mins,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,10/10/2025 20:42,10/10/2025 20:56,14 mins 5 secs,7.24,0.53,0.53,0.53,0,0.53,0.53,0.53,0.26,0.53,0.39,0,0.26,0.53,0.53,0,0.53,0,0.53,0.53
Finished,10/10/2025 21:20,10/10/2025 21:29,8 mins 31 secs,0.39,0,0,0,0,0,0,0,0,0,0.13,0,0.26,0,0,0,0,0,0,0
Finished,10/10/2025 22:31,10/10/2025 22:53,22 mins 28 secs,8.29,0.26,0.53,0.53,0.53,0.53,0,0.53,0.13,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0
Finished,10/10/2025 22:50,10/10/2025 23:26,36 mins 22 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,11/10/2025 8:14,11/10/2025 8:46,32 mins 2 secs,8.03,0.26,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0,0.53,0,0.53,0.53
Finished,11/10/2025 10:32,11/10/2025 10:54,21 mins 6 secs,7.63,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0,0,0.53,0.53,0,0.53,0.53
Finished,11/10/2025 11:49,11/10/2025 12:22,33 mins 40 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,11/10/2025 16:17,11/10/2025 16:34,16 mins 52 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
In progress,12/10/2025 2:51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
In progress,12/10/2025 14:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,12/10/2025 15:13,12/10/2025 15:22,9 mins 31 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,12/10/2025 20:20,12/10/2025 20:42,22 mins 14 secs,8.42,0.53,0.53,0.53,0.53,0,0.53,0.53,0.39,0.53,0.39,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0
Finished,12/10/2025 22:29,12/10/2025 23:19,49 mins 36 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
,,,,7.9,0.41,0.49,0.43,0.45,0.3,0.38,0.46,0.44,0.47,0.46,0.44,0.49,0.34,0.36,0.41,0.46,0.36,0.33,0.4
